Vendor Code,Vendor Name
400687,SHAHEER ABBAS SUPPORT SERVICES
400692,PACIFIC HITECH ARABIAN CO LTD.
400695,POLY-TECH MAINTENANCE AND
400698,PROGRESS ARABIA GEN. CONT. EST
400699,ARABIAN ASHKAF PLANT SOLUTIONS
400701,APPLUS ARABIA FOR TESITNG
400707,ZAYED DHEARAN ALNOFIEE EST
400708,INTERPOLE ARABIA COMPANY LLC
400710,ANJAL AL KHALEEJ ADVERTISING COMPAN
400713,FOUR FOUNDATION FOR ADVERTIZING
400714,ENERGY & WATER ACADEMY
400720,AL NAJM AL THAQIB SCAFFOLDING CO
400721,GEETHE RAYEA HASSIN AL-QARNI FOR
400722,RAWAYAT WATAN CONTRACTING CO.
400723,INDUSTRIAL SOURCES DEVELOPMENT EST
400725,AMMAR MUSA BIN AHMED BU SALEH EST
400727,AL SAMI EQUIPMENT RENTAL
400728,TATA Engineering Consultant
400729,SAED AL SHARQ CONTRACTING
400730,QISSAT FANAN GENERAL
400736,AL JAZIRAH VEHICLES AGENCIES CO. LT
400738,SCHINDLER OLAYAN ELEVATOR CO.
400739,AJYAD INDUSTRIAL PANELS FACTORY
400740,TAHBAT SYSTEM FOR CONTRACTING CO.
400742,AL-RIYADAH LINE CONTRACTING EST
400743,ZAMEN CONTRACTING ESTABLISHMENT
400745,ENSO ARABIA COMPANY FOR EVENTS
400748,ALMOHADDED CONSULTING
400750,Faisal S. Al- Naimi Co. Ltd
400751,ABDULLAH SAEED AL-AHMARY
400754,Systems Portal Contracting Est.
400757,SCIENTECHNIC SAUDI COMPANY
400758,AL ROWAD GENERAL CONTRACTING CO.LTD
400759,IMAGEGRAFIX INTERNATIONAL FOR IT
400762,ELM INTERNATIONAL COMPANY LTD.
400764,MISFER BIN ALI AL KURBI
400765,AL DANA STARS ARABIA CONTRACTING
400776,IDEAL SUPPORT GENERAL CONTRACTING
400777,QASEM HUSSAIN AL-MOKAHAL AND
400778,ZAWQ AL-BENAA FOR PROFESSIONAL
400779,YOUSUF GHAZAI AL RASHIDI
400780,Mana Y. Al-Hammam Cont. Est.
400781,Faisal Fahad Hussian Al Kari
400782,AKFA ARABIA COMPANY LTD
400783,BRANCH OD SES SMART ENERGY SOLUTION
400785,ARABIAN BUILDING SUPPORT
400786,WALEED ABDULLAH MUZAFFAR CONT. EST
400787,RUKN ALNUFUDH CONTRACTING EST.
400789,Fame Arabia General Contracting
400792,RUKN AL- FAYZIA CONTRACTING EST.
400794,OPERATIONAL TECHNOLOGIES
400796,MODERN ENERGY FOR EQUIPMENT MAINTEN
400797,ADVANCED TECHNICAL SOLUTIONS
400799,RAWAFEE AL MUTAHEDON
400801,UNITED TENTH CONTRACTING COMPANY
