vendor-code,vendor-name,material-group,material-subgroup,is-service,total-po-value-sar,total-po-count
100282,GLOBAL RECRUITER,,,,0,0
100283,BAYT THE MIDDLE EAST,,,,0,0
100284,BEST CARS REPAIR CENTER,,,,0,0
100281,PT.MILLENIUM MUDA MAKMUR,,,,0,0
100285,INDUSTRIAL SUPPLIES (FZE),,,,54180,2
100288,TAWZEF RECRUITMENT COMPANY,,,,0,0
100292,THREE SEASONS PERSONNEL SOLUTIONS,,,,0,0
100290,STAINLESS STEEL IMPEX,,,,0,0
100291,ELOHIM TRAVELS TOURS & RECRUITMENT,,,,0,0
100294,DEVELOPED KNOWLEDGE FOR RECRUITMENT,,,,0,0
100293,SKILLS PROVISION,,,,0,0
100286,GIOVENZANA INTERNATIONAL BV.,,,,5222.07,3
100296,RAJPRIYA INSTRUMENTS & CONTROLS,,,,91146.17,7
100295,Mecon Alloys Inc.,,,,2.65,1
100287,GLOBE HEAT TREATMENT SVS LTD,,,,78953.4,1
100299,Fortune Fitting Industries,,,,0,0
100297,ALERTH RECRUITMENT,,,,0,0
100298,"KROHNE AG,",,,,105366.06,4
100301,Special Piping Materials FZE,,,,0,0
100300,S.P METAL,,,,67899.72,2
100303,LUNA CORPORATION [PAKISTAN],,,,0,0
100302,FERAS & BASEM INFORMATION TECH,,,,0,0
100304,FAISAL MANAGEMENT SERVICES,,,,0,0
100305,ATLANTIC DIVERSIFIEDEXECZ EXCEUTIVE PLACEMENT,,,,0,0
100307,S.T.E. srl,,,,6345,1
100306,EMD Scaffolding India (P) Limited,,,,0,0
100308,Filnor Incorporated,,,,12150,1
100309,Unionfull Group Ltd.,,,,9750,2
100310,Honeywell Middle East FZE,test,testsubgrpup,N,2413820.16,15
100311,ICC Intelligent Platforms GmbH,,,,347906.25,1
100313,BRIGHT INTERNATIONAL HRDCONSULTANTS,,,,0,0
100312,KROHNE Messtechnik GmbH,,,,92643.75,4
100314,KAIZEN FIRM,,,,0,0
100316,MEED MEDIA FZ LLC,,,,86062.5,3
100315,PROCEDYNE ENGINEERS,,,,72478.13,4
100317,HYHIRE INTERNATIONAL,,,,0,0
100318,ROXTEC MIDDLE EAST FZE,,,,4620,1
100319,VATAC VALVES CORP.,,,,12522.42,1
100320,"GREATWAYS MANPOWER INTERNATIONA, INGREATWAYS MANPOWER INTERNATIONA, IN",,,,0,0
100322,PT.AKA ALMATAR,,,,0,0
100321,TEKAB CO. LLC.,,,,1665410.63,37
100325,PT. SAPTA REZEKIRECRUITMENT AGENCY,,,,0,0
100324,FCG MIDDLE EAST (FCZ),,,,3187.5,1
100323,SEL MIDDLE EAST W.L.L.,,,,684975.71,13
100328,PT. PRIMA INDAH ABADI,,,,0,0
100326,"Drake Specialties,LLC",,,,1424.93,1
100327,PT. HIDAYAH INSAN PEKERJA,,,,0,0
100330,GENERAL INSTRUMENTS CONSORTIUM,,,,28935,5
100329,DBMSC - STEEL FZCO,,,,6987.65,1
100332,KROHNE OIL & GAS B.V,,,,304828.5,23
100334,SWME CONTROL SYSTEMS TRADING LLC,,,,0,0
100333,ADGHAL OILFIELD SUPPLIES LLC,,,,7764.75,1
100340,SUNTEX COMPOSITE INDUSTRIAL CO. LTD,,,,179122.5,8
100335,"CoorsTek, Ltd",,,,19375.2,1
100336,JONAS Inc. Consultants,,,,57750,1
100341,TRANSCEND HR CONSULTANCY,,,,0,0
100342,PT. AERO GLOBE INDONESIA,,,,0,0
100343,STATRON Middle East FZCO,,,,516375,3
100344,PT.  AVIAVENTURA AERO AGENSI,,,,0,0
100345,PETROPIPE FZE,,,,15678.75,1
100331,PT. ALHGONIY AFLAH ABADI,,,,0,0
100348,MARAFE INTERNATIONAL MANPOWERSERVICES INC,,,,0,0
100346,AASTHA CONSULTING,,,,0,0
100349,"Adams SFC, Inc.  (d/b/a R.P. Adams)",,,,84933.75,2
100347,AASTHA CONSULTING,,,,0,0
100351,DOMO S.r.l.,,,,99344.34,3
100350,FOWLER WESTRUP (INDIA) PVT LIMITED,,,,759363.76,4
100352,SGS INDIA PRIVATE LIMITED,,,,0,0
100353,ELECTROTECNICA ARTECHE HERMANOS S.L,,,,2132207.82,2
100354,Stamicarbon B.V.,,,,323662.5,1
100355,AL BATRA RECRUITMENT AGENCY INC,,,,0,0
100356,PRIMUS TECHSYSTEMS PVT LTD,,,,0,0
100358,Thermal Instrument India Pvt. Ltd.Mfrg. Unit of General InstrumentsConsortium.,,,,20272.5,3
100359,VALLAY MEDIA INTERNATIONAL,,,,0,0
100357,SPIRAX-SARCO LTD.,,,,79596,2
100361,Glacier Travel & Tours (P.) Ltd,,,,0,0
100362,Vent-O-Mat Australia Pty Ltd,,,,77625,1
100360,LUMEL S A,,,,23287.5,1
100363,SCADA SYSTEMS LTD,,,,21903.75,1
100364,SAFT,,,,24343.2,1
100365,Avenir Technologies FZCO,,,,73923.75,1
100375,FEDERAL POWER TRANSFORMERS LLC,,,,4140000,1
100370,ARABIAN CENTERS EMPLOYMENT SERVICES,,,,0,0
100380,HNF OILFIELD EQUIPMENT TRADING LLC,,,,100205.03,4
100383,Borri Power Middle East FZCO,,,,72049.5,2
100381,NATIONAL SWITCHGEARS,,,,426513.75,7
100382,MIDDLE EAST TECHNICAL CO. WLL,,,,813040,4
100385,AG PCS Switchgear manufacturing LLC,,,,669750,2
100384,HYOSUNG HEAVY INDUSTRIESCORPORATION,,,,8631187.5,1
100386,MAGHRIB AGENCIES LTD,,,,0,0
100387,ZION WORLDWIDE PLACEMENTS LTD,,,,0,0
100388,VAXIN KT GROUP LIMITED,,,,0,0
100389,PT.ORAIM COMMERCIAL SERVICES,,,,0,0
100391,TIANJIN WEIMING INDUSTRIAL & TRADINCO. LTD.,,,,629883.75,1
100390,Indana Steel Pvt Ltd,,,,1822.54,2
100392,OMNIYAT MARKETING ADVERTISING CO,,,,0,0
100393,Gutor Electronic LLC,,,,48406.65,2
100394,RITZ INSTRUMENT TRANSFORMERS GMBH,,,,6048695.48,6
100395,COOPER POWER SYSTEMS LLC,,,,560182.5,1
100400,CELSA MESSGERÄTE-ESPAÑA S.L.,,,,937.5,1
100401,Woodfield Systems InternationalPvt Ltd,,,,12825,1
100402,Heinrichs Messtechnik GmbH,,,,0,0
100405,MDX TECHNOLOGY SOLUTIONS ME LLC,,,,45000,1
100411,PT MARK BUSINESS INTERNATIONAL,,,,0,0
100410,HAWKS CO. LTD.,,,,0,0
100415,"TUV NORD (Hangzhou) Co., Ltd.",,,,1875,1
100420,1ST-JOBS.COM LLC,,,,0,0
100421,ID VISION TRADING LLC,,,,7200,2
100422,AK ENERGY SOLUTIONS,,,,12500,1
100423,ALLIED SERVICES INTERNATIONAL(PVT) LTD,,,,0,0
100425,MANARET ALKHALIG RECRUITMENT AGENCY,,,,0,0
100426,"EFACEC Energia, Máquinas eEquipamentos Eléctricos, S.A.",,,,129600,1
100427,PROLIANCE SWITCHGEAR SOLUTIONS LLC,,,,3234,1
100430,ELEQ b.v.,,,,175257,3
100431,BALIKESIR ELEKTROMEKANIKSANAYI TESISLERI A.S.,,,,1308750,2
100432,PHB WESERHÜTTE SAU,,,,421650,2
100433,ASMACS FZC,,,,0,0
100435,STAFFHOUSE INTERNATIONAL RESOURCESCORPORATION,,,,0,0
100434,MONSTER.COM INDIA PRIVATE LIMITED,,,,0,0
100437,V.V ENTERPRISES,,,,2370,1
100436,SKILLSHUNTER CONSULTANCY,,,,0,0
100440,FIRENOR GENERAL CONTRACTING L.L.C.,,,,135000,1
100441,NAMAA TRAVEL AND TOUR & RECRUITMENTSERVICES LIMITED,,,,0,0
100438,H HEUER INSTRUMENTS PTY LTD,,,,36671.25,1
100442,AIV MIDDLE EAST,,,,704026.19,16
100443,Data Connect Enterprise,,,,18750,1
100445,DESCON ENGINEERING,,,,1545000,4
100444,E-GMP INTERNATIONAL CORPORATION,,,,0,0
100446,WEBTEL ELECTROSOFT (P) LTD,,,,0,0
100447,RELAY MONITORING SYSTEMS PTY LTD,,,,236137.5,3
100448,SULOCHANA ENTERPRISES,,,,22510.71,3
100449,AMAN ENGINEERING FZC,,,,1840905.39,27
100450,BHARAT CORRUB INDUSTRIES LLP,,,,51395.08,2
100451,VINHAR (PVT) LIMITED,,,,0,0
